,trip_id,trip_headsign
765,ASP22GEN-1091-Weekday-00_071550_1..S03R,South Ferry
766,ASP22GEN-1091-Weekday-00_071750_1..N03R,Van Cortlandt Park-242 St
767,ASP22GEN-1091-Weekday-00_072150_1..S03R,South Ferry
768,ASP22GEN-1091-Weekday-00_072350_1..N03R,Van Cortlandt Park-242 St
769,ASP22GEN-1091-Weekday-00_072750_1..S03R,South Ferry
770,ASP22GEN-1091-Weekday-00_072950_1..N03R,Van Cortlandt Park-242 St
771,ASP22GEN-1091-Weekday-00_073350_1..S03R,South Ferry
772,ASP22GEN-1091-Weekday-00_073550_1..N03R,Van Cortlandt Park-242 St
773,ASP22GEN-1091-Weekday-00_073950_1..S03R,South Ferry
774,ASP22GEN-1091-Weekday-00_074150_1..N03R,Van Cortlandt Park-242 St
775,ASP22GEN-1091-Weekday-00_074550_1..S03R,South Ferry
776,ASP22GEN-1091-Weekday-00_074750_1..N03R,Van Cortlandt Park-242 St
777,ASP22GEN-1091-Weekday-00_075150_1..S03R,South Ferry
778,ASP22GEN-1091-Weekday-00_075350_1..N03R,Van Cortlandt Park-242 St
779,ASP22GEN-1091-Weekday-00_075750_1..S03R,South Ferry
780,ASP22GEN-1091-Weekday-00_075950_1..N03R,Van Cortlandt Park-242 St
781,ASP22GEN-1091-Weekday-00_076350_1..S03R,South Ferry
782,ASP22GEN-1091-Weekday-00_076550_1..N03R,Van Cortlandt Park-242 St
783,ASP22GEN-1091-Weekday-00_076950_1..S03R,South Ferry
784,ASP22GEN-1091-Weekday-00_077150_1..N03R,Van Cortlandt Park-242 St
785,ASP22GEN-1091-Weekday-00_077550_1..S03R,South Ferry
786,ASP22GEN-1091-Weekday-00_077750_1..N03R,Van Cortlandt Park-242 St
787,ASP22GEN-1091-Weekday-00_078150_1..S03R,South Ferry
788,ASP22GEN-1091-Weekday-00_078350_1..N03R,Van Cortlandt Park-242 St
789,ASP22GEN-1091-Weekday-00_078750_1..S03R,South Ferry
790,ASP22GEN-1091-Weekday-00_078950_1..N03R,Van Cortlandt Park-242 St
791,ASP22GEN-1091-Weekday-00_079350_1..S03R,South Ferry
792,ASP22GEN-1091-Weekday-00_079550_1..N03R,Van Cortlandt Park-242 St
793,ASP22GEN-1091-Weekday-00_079950_1..S03R,South Ferry
794,ASP22GEN-1091-Weekday-00_080150_1..N03R,Van Cortlandt Park-242 St
795,ASP22GEN-1091-Weekday-00_080550_1..S03R,South Ferry
796,ASP22GEN-1091-Weekday-00_080750_1..N03R,Van Cortlandt Park-242 St
797,ASP22GEN-1091-Weekday-00_081150_1..S03R,South Ferry
798,ASP22GEN-1091-Weekday-00_081350_1..N03R,Van Cortlandt Park-242 St
799,ASP22GEN-1091-Weekday-00_081750_1..S03R,South Ferry
800,ASP22GEN-1091-Weekday-00_081950_1..N03R,Van Cortlandt Park-242 St
801,ASP22GEN-1091-Weekday-00_082350_1..S03R,South Ferry
802,ASP22GEN-1091-Weekday-00_082550_1..N03R,Van Cortlandt Park-242 St
803,ASP22GEN-1091-Weekday-00_082950_1..S03R,South Ferry
804,ASP22GEN-1091-Weekday-00_083150_1..N03R,Van Cortlandt Park-242 St
805,ASP22GEN-1091-Weekday-00_083550_1..S03R,South Ferry
806,ASP22GEN-1091-Weekday-00_083750_1..N03R,Van Cortlandt Park-242 St
807,ASP22GEN-1091-Weekday-00_084150_1..S03R,South Ferry
808,ASP22GEN-1091-Weekday-00_084350_1..N03R,Van Cortlandt Park-242 St
809,ASP22GEN-1091-Weekday-00_084750_1..S03R,South Ferry
810,ASP22GEN-1091-Weekday-00_084950_1..N03R,Van Cortlandt Park-242 St
811,ASP22GEN-1091-Weekday-00_085350_1..S03R,South Ferry
812,ASP22GEN-1091-Weekday-00_085550_1..N03R,Van Cortlandt Park-242 St
813,ASP22GEN-1091-Weekday-00_085950_1..S03R,South Ferry
814,ASP22GEN-1091-Weekday-00_086150_1..N03R,Van Cortlandt Park-242 St
815,ASP22GEN-1091-Weekday-00_086550_1..S03R,South Ferry
816,ASP22GEN-1091-Weekday-00_086750_1..N03R,Van Cortlandt Park-242 St
817,ASP22GEN-1091-Weekday-00_087100_1..S03R,South Ferry
818,ASP22GEN-1091-Weekday-00_087350_1..N03R,Van Cortlandt Park-242 St
819,ASP22GEN-1091-Weekday-00_087600_1..S03R,South Ferry
820,ASP22GEN-1091-Weekday-00_087950_1..N03R,Van Cortlandt Park-242 St
821,ASP22GEN-1091-Weekday-00_088200_1..S03R,South Ferry
822,ASP22GEN-1091-Weekday-00_088550_1..N03R,Van Cortlandt Park-242 St
823,ASP22GEN-1091-Weekday-00_088800_1..S03R,South Ferry
824,ASP22GEN-1091-Weekday-00_089150_1..N03R,Van Cortlandt Park-242 St
825,ASP22GEN-1091-Weekday-00_089400_1..S03R,South Ferry
826,ASP22GEN-1091-Weekday-00_089750_1..N03R,Van Cortlandt Park-242 St
827,ASP22GEN-1091-Weekday-00_089900_1..S03R,South Ferry
828,ASP22GEN-1091-Weekday-00_090300_1..N03R,Van Cortlandt Park-242 St
829,ASP22GEN-1091-Weekday-00_090400_1..S03R,South Ferry
830,ASP22GEN-1091-Weekday-00_090900_1..N03R,Van Cortlandt Park-242 St
831,ASP22GEN-1091-Weekday-00_090900_1..S03R,South Ferry
832,ASP22GEN-1091-Weekday-00_091400_1..S03R,South Ferry
833,ASP22GEN-1091-Weekday-00_091500_1..N03R,Van Cortlandt Park-242 St
834,ASP22GEN-1091-Weekday-00_091900_1..S03R,South Ferry
835,ASP22GEN-1091-Weekday-00_092100_1..N03R,Van Cortlandt Park-242 St
836,ASP22GEN-1091-Weekday-00_092400_1..S03R,South Ferry
837,ASP22GEN-1091-Weekday-00_092700_1..N03R,Van Cortlandt Park-242 St
838,ASP22GEN-1091-Weekday-00_092900_1..S03R,South Ferry
839,ASP22GEN-1091-Weekday-00_093200_1..N03R,Van Cortlandt Park-242 St
840,ASP22GEN-1091-Weekday-00_093400_1..S03R,South Ferry
841,ASP22GEN-1091-Weekday-00_093700_1..N03R,Van Cortlandt Park-242 St
842,ASP22GEN-1091-Weekday-00_093900_1..S03R,South Ferry
843,ASP22GEN-1091-Weekday-00_094200_1..N03R,Van Cortlandt Park-242 St
844,ASP22GEN-1091-Weekday-00_094400_1..S03R,South Ferry
845,ASP22GEN-1091-Weekday-00_094700_1..N03R,Van Cortlandt Park-242 St
846,ASP22GEN-1091-Weekday-00_094900_1..S03R,South Ferry
847,ASP22GEN-1091-Weekday-00_095200_1..N03R,Van Cortlandt Park-242 St
848,ASP22GEN-1091-Weekday-00_095400_1..S04R,South Ferry
849,ASP22GEN-1091-Weekday-00_095600_1..N03R,Van Cortlandt Park-242 St
850,ASP22GEN-1091-Weekday-00_095650_1..S03R,South Ferry
851,ASP22GEN-1091-Weekday-00_096100_1..S03R,South Ferry
