,trip_id,trip_headsign
467,ASP22GEN-1038-Saturday-00_100700_1..N03R,Van Cortlandt Park-242 St
468,ASP22GEN-1038-Saturday-00_100750_1..S03R,South Ferry
469,ASP22GEN-1038-Saturday-00_101500_1..N03R,Van Cortlandt Park-242 St
470,ASP22GEN-1038-Saturday-00_101550_1..S03R,South Ferry
471,ASP22GEN-1038-Saturday-00_102300_1..N03R,Van Cortlandt Park-242 St
472,ASP22GEN-1038-Saturday-00_102350_1..S03R,South Ferry
473,ASP22GEN-1038-Saturday-00_103100_1..N03R,Van Cortlandt Park-242 St
474,ASP22GEN-1038-Saturday-00_103150_1..S03R,South Ferry
475,ASP22GEN-1038-Saturday-00_103900_1..N03R,Van Cortlandt Park-242 St
476,ASP22GEN-1038-Saturday-00_103950_1..S03R,South Ferry
477,ASP22GEN-1038-Saturday-00_104700_1..N03R,Van Cortlandt Park-242 St
478,ASP22GEN-1038-Saturday-00_104750_1..S03R,South Ferry
479,ASP22GEN-1038-Saturday-00_105500_1..N03R,Van Cortlandt Park-242 St
480,ASP22GEN-1038-Saturday-00_105550_1..S03R,South Ferry
481,ASP22GEN-1038-Saturday-00_106300_1..N03R,Van Cortlandt Park-242 St
482,ASP22GEN-1038-Saturday-00_106350_1..S03R,South Ferry
483,ASP22GEN-1038-Saturday-00_107100_1..N03R,Van Cortlandt Park-242 St
484,ASP22GEN-1038-Saturday-00_107150_1..S03R,South Ferry
485,ASP22GEN-1038-Saturday-00_107900_1..N03R,Van Cortlandt Park-242 St
486,ASP22GEN-1038-Saturday-00_107950_1..S03R,South Ferry
487,ASP22GEN-1038-Saturday-00_108700_1..N03R,Van Cortlandt Park-242 St
488,ASP22GEN-1038-Saturday-00_108750_1..S03R,South Ferry
489,ASP22GEN-1038-Saturday-00_109500_1..N03R,Van Cortlandt Park-242 St
490,ASP22GEN-1038-Saturday-00_109550_1..S03R,South Ferry
491,ASP22GEN-1038-Saturday-00_110300_1..N03R,Van Cortlandt Park-242 St
492,ASP22GEN-1038-Saturday-00_110350_1..S03R,South Ferry
493,ASP22GEN-1038-Saturday-00_111100_1..N03R,Van Cortlandt Park-242 St
494,ASP22GEN-1038-Saturday-00_111150_1..S03R,South Ferry
495,ASP22GEN-1038-Saturday-00_111900_1..N03R,Van Cortlandt Park-242 St
496,ASP22GEN-1038-Saturday-00_111950_1..S03R,South Ferry
497,ASP22GEN-1038-Saturday-00_112700_1..N03R,Van Cortlandt Park-242 St
498,ASP22GEN-1038-Saturday-00_112750_1..S03R,South Ferry
499,ASP22GEN-1038-Saturday-00_113500_1..N03R,Van Cortlandt Park-242 St
500,ASP22GEN-1038-Saturday-00_113550_1..S03R,South Ferry
501,ASP22GEN-1038-Saturday-00_114300_1..N03R,Van Cortlandt Park-242 St
502,ASP22GEN-1038-Saturday-00_114350_1..S03R,South Ferry
503,ASP22GEN-1038-Saturday-00_115100_1..N03R,Van Cortlandt Park-242 St
504,ASP22GEN-1038-Saturday-00_115150_1..S03R,South Ferry
505,ASP22GEN-1038-Saturday-00_115900_1..N03R,Van Cortlandt Park-242 St
506,ASP22GEN-1038-Saturday-00_115950_1..S03R,South Ferry
507,ASP22GEN-1038-Saturday-00_116700_1..N03R,Van Cortlandt Park-242 St
508,ASP22GEN-1038-Saturday-00_116750_1..S03R,South Ferry
509,ASP22GEN-1038-Saturday-00_117500_1..N03R,Van Cortlandt Park-242 St
510,ASP22GEN-1038-Saturday-00_117550_1..S03R,South Ferry
511,ASP22GEN-1038-Saturday-00_118300_1..N03R,Van Cortlandt Park-242 St
512,ASP22GEN-1038-Saturday-00_118350_1..S03R,South Ferry
513,ASP22GEN-1038-Saturday-00_119100_1..N03R,Van Cortlandt Park-242 St
514,ASP22GEN-1038-Saturday-00_119150_1..S03R,South Ferry
515,ASP22GEN-1038-Saturday-00_119900_1..N03R,Van Cortlandt Park-242 St
516,ASP22GEN-1038-Saturday-00_119950_1..S03R,South Ferry
517,ASP22GEN-1038-Saturday-00_120700_1..N03R,Van Cortlandt Park-242 St
518,ASP22GEN-1038-Saturday-00_120750_1..S03R,South Ferry
519,ASP22GEN-1038-Saturday-00_121500_1..N03R,Van Cortlandt Park-242 St
520,ASP22GEN-1038-Saturday-00_121550_1..S03R,South Ferry
521,ASP22GEN-1038-Saturday-00_122300_1..N03R,Van Cortlandt Park-242 St
522,ASP22GEN-1038-Saturday-00_122350_1..S03R,South Ferry
523,ASP22GEN-1038-Saturday-00_123100_1..N03R,Van Cortlandt Park-242 St
524,ASP22GEN-1038-Saturday-00_123150_1..S03R,South Ferry
525,ASP22GEN-1038-Saturday-00_123900_1..N03R,Van Cortlandt Park-242 St
526,ASP22GEN-1038-Saturday-00_123950_1..S03R,South Ferry
527,ASP22GEN-1038-Saturday-00_124700_1..N03R,Van Cortlandt Park-242 St
528,ASP22GEN-1038-Saturday-00_124750_1..S03R,South Ferry
529,ASP22GEN-1038-Saturday-00_125500_1..N03R,Van Cortlandt Park-242 St
530,ASP22GEN-1038-Saturday-00_125550_1..S03R,South Ferry
531,ASP22GEN-1038-Saturday-00_126300_1..N03R,Van Cortlandt Park-242 St
532,ASP22GEN-1038-Saturday-00_126350_1..S03R,South Ferry
533,ASP22GEN-1038-Saturday-00_127100_1..N03R,Van Cortlandt Park-242 St
534,ASP22GEN-1038-Saturday-00_127150_1..S03R,South Ferry
535,ASP22GEN-1038-Saturday-00_127900_1..N03R,Van Cortlandt Park-242 St
536,ASP22GEN-1038-Saturday-00_127950_1..S03R,South Ferry
537,ASP22GEN-1038-Saturday-00_128700_1..N03R,Van Cortlandt Park-242 St
