,trip_id,trip_headsign
159,ASP22GEN-1037-Sunday-00_095650_1..N03R,Van Cortlandt Park-242 St
160,ASP22GEN-1037-Sunday-00_095750_1..S03R,South Ferry
161,ASP22GEN-1037-Sunday-00_096450_1..N03R,Van Cortlandt Park-242 St
162,ASP22GEN-1037-Sunday-00_096550_1..S03R,South Ferry
163,ASP22GEN-1037-Sunday-00_097250_1..N03R,Van Cortlandt Park-242 St
164,ASP22GEN-1037-Sunday-00_097350_1..S03R,South Ferry
165,ASP22GEN-1037-Sunday-00_098050_1..N03R,Van Cortlandt Park-242 St
166,ASP22GEN-1037-Sunday-00_098150_1..S03R,South Ferry
167,ASP22GEN-1037-Sunday-00_098850_1..N03R,Van Cortlandt Park-242 St
168,ASP22GEN-1037-Sunday-00_098950_1..S03R,South Ferry
169,ASP22GEN-1037-Sunday-00_099650_1..N03R,Van Cortlandt Park-242 St
170,ASP22GEN-1037-Sunday-00_099750_1..S03R,South Ferry
171,ASP22GEN-1037-Sunday-00_100450_1..N03R,Van Cortlandt Park-242 St
172,ASP22GEN-1037-Sunday-00_100550_1..S03R,South Ferry
173,ASP22GEN-1037-Sunday-00_101250_1..N03R,Van Cortlandt Park-242 St
174,ASP22GEN-1037-Sunday-00_101350_1..S03R,South Ferry
175,ASP22GEN-1037-Sunday-00_102050_1..N03R,Van Cortlandt Park-242 St
176,ASP22GEN-1037-Sunday-00_102150_1..S03R,South Ferry
177,ASP22GEN-1037-Sunday-00_102850_1..N03R,Van Cortlandt Park-242 St
178,ASP22GEN-1037-Sunday-00_102950_1..S03R,South Ferry
179,ASP22GEN-1037-Sunday-00_103650_1..N03R,Van Cortlandt Park-242 St
180,ASP22GEN-1037-Sunday-00_103750_1..S03R,South Ferry
181,ASP22GEN-1037-Sunday-00_104450_1..N03R,Van Cortlandt Park-242 St
182,ASP22GEN-1037-Sunday-00_104550_1..S03R,South Ferry
183,ASP22GEN-1037-Sunday-00_105250_1..N03R,Van Cortlandt Park-242 St
184,ASP22GEN-1037-Sunday-00_105350_1..S03R,South Ferry
185,ASP22GEN-1037-Sunday-00_106050_1..N03R,Van Cortlandt Park-242 St
186,ASP22GEN-1037-Sunday-00_106150_1..S03R,South Ferry
187,ASP22GEN-1037-Sunday-00_106850_1..N03R,Van Cortlandt Park-242 St
188,ASP22GEN-1037-Sunday-00_106950_1..S03R,South Ferry
189,ASP22GEN-1037-Sunday-00_107650_1..N03R,Van Cortlandt Park-242 St
190,ASP22GEN-1037-Sunday-00_107750_1..S03R,South Ferry
191,ASP22GEN-1037-Sunday-00_108450_1..N03R,Van Cortlandt Park-242 St
192,ASP22GEN-1037-Sunday-00_108550_1..S03R,South Ferry
193,ASP22GEN-1037-Sunday-00_109250_1..N03R,Van Cortlandt Park-242 St
194,ASP22GEN-1037-Sunday-00_109350_1..S03R,South Ferry
195,ASP22GEN-1037-Sunday-00_110050_1..N03R,Van Cortlandt Park-242 St
196,ASP22GEN-1037-Sunday-00_110150_1..S03R,South Ferry
197,ASP22GEN-1037-Sunday-00_110850_1..N03R,Van Cortlandt Park-242 St
198,ASP22GEN-1037-Sunday-00_110950_1..S03R,South Ferry
199,ASP22GEN-1037-Sunday-00_111650_1..N03R,Van Cortlandt Park-242 St
200,ASP22GEN-1037-Sunday-00_111750_1..S03R,South Ferry
201,ASP22GEN-1037-Sunday-00_112450_1..N03R,Van Cortlandt Park-242 St
202,ASP22GEN-1037-Sunday-00_112550_1..S03R,South Ferry
203,ASP22GEN-1037-Sunday-00_113250_1..N03R,Van Cortlandt Park-242 St
204,ASP22GEN-1037-Sunday-00_113350_1..S03R,South Ferry
